order_item_id,order_id,product_id,quantity,unit_price,discount
OI000001,ORD00001,P0083,1,647,0.15
OI000002,ORD00001,P0171,1,71342.03,0.1
OI000003,ORD00001,P0125,1,1338.95,0.15
OI000004,ORD00002,P0136,2,419.97,0.2
OI000005,ORD00002,P0152,1,429.44,0
OI000006,ORD00002,P0064,2,23322.1,0.1
OI000007,ORD00003,P0018,1,9053.61,0.05
OI000008,ORD00003,P0080,2,944.28,0.1
OI000009,ORD00003,P0070,2,1384.44,0
OI000010,ORD00004,P0067,1,2164.79,0.05
OI000011,ORD00004,P0162,1,4205.41,0.05
OI000012,ORD00004,P0070,3,1330.14,0.1
OI000013,ORD00005,P0080,3,963.55,0.05
OI000014,ORD00005,P0022,2,8503.17,0
OI000015,ORD00006,P0065,1,12740.64,0
OI000016,ORD00006,P0008,1,60611.2,0.15
OI000017,ORD00007,P0045,4,480.29,0.1
OI000018,ORD00007,P0035,2,683.15,0
OI000019,ORD00008,P0084,1,481.88,0.1
OI000020,ORD00008,P0117,1,54010.34,0.2
OI000021,ORD00008,P0047,1,942.88,0.1
OI000022,ORD00009,P0103,1,1533.34,0.05
OI000023,ORD00009,P0159,2,1110.84,0.2
OI000024,ORD00009,P0020,1,7413.73,0.2
OI000025,ORD00010,P0043,3,503.85,0
OI000026,ORD00010,P0115,2,8577.77,0.05
OI000027,ORD00010,P0182,2,5103.64,0.1
OI000028,ORD00011,P0015,3,1400.66,0.15
OI000029,ORD00011,P0182,1,5103.64,0
OI000030,ORD00012,P0161,2,2648.17,0
OI000031,ORD00012,P0036,2,26.93,0.2
OI000032,ORD00012,P0145,1,694.48,0.1
OI000033,ORD00012,P0107,1,3912.17,0.15
OI000034,ORD00013,P0105,2,2416.81,0
OI000035,ORD00013,P0038,1,149.11,0.2
OI000036,ORD00014,P0192,1,682.5,0.1
OI000037,ORD00014,P0143,1,1022.33,0.2
OI000038,ORD00015,P0104,1,1088.18,0
OI000039,ORD00015,P0193,3,593.23,0.05
OI000040,ORD00016,P0113,2,28710.82,0.05
OI000041,ORD00016,P0127,3,4703.47,0.15
OI000042,ORD00017,P0107,1,3992.01,0
OI000043,ORD00017,P0130,1,6787.49,0.15
OI000044,ORD00018,P0035,1,669.49,0.1
OI000045,ORD00018,P0119,1,26055.76,0
OI000046,ORD00018,P0125,1,1338.95,0.2
OI000047,ORD00019,P0049,2,1186.28,0.1
OI000048,ORD00019,P0123,1,2400.64,0.1
OI000049,ORD00019,P0140,1,338.83,0
OI000050,ORD00020,P0007,1,49491.62,0
OI000051,ORD00020,P0178,1,2741.58,0.2
OI000052,ORD00021,P0164,1,2448.59,0.1
OI000053,ORD00021,P0095,1,243.44,0.05
OI000054,ORD00022,P0163,1,2744.22,0.15
OI000055,ORD00022,P0068,1,2356.18,0.2
OI000056,ORD00023,P0010,2,12615.92,0.2
OI000057,ORD00023,P0124,1,1834.06,0.2
OI000058,ORD00024,P0089,2,577.1,0.15
OI000059,ORD00024,P0097,1,393.74,0
OI000060,ORD00025,P0017,1,5152.18,0
OI000061,ORD00025,P0164,1,2448.59,0.15
OI000062,ORD00025,P0123,2,2400.64,0
OI000063,ORD00026,P0052,2,4127.99,0.1
OI000064,ORD00026,P0066,4,2985.96,0.2
OI000065,ORD00026,P0146,2,26.05,0
OI000066,ORD00027,P0099,2,404.01,0
OI000067,ORD00027,P0114,1,1507.14,0.05
OI000068,ORD00028,P0071,1,2746.57,0.15
OI000069,ORD00028,P0149,1,571.64,0.15
OI000070,ORD00029,P0054,2,2365.89,0
OI000071,ORD00029,P0129,2,12231.92,0
OI000072,ORD00029,P0173,2,56610.02,0.2
OI000073,ORD00030,P0199,1,583.79,0.05
OI000074,ORD00030,P0183,1,8885.07,0.15
OI000075,ORD00031,P0063,1,55963.08,0.15
OI000076,ORD00031,P0092,2,328.65,0
OI000077,ORD00031,P0097,1,386.02,0.1
OI000078,ORD00032,P0103,3,1473.2,0.15
OI000079,ORD00032,P0174,1,26874.76,0.1
OI000080,ORD00033,P0009,2,24557.2,0
OI000081,ORD00033,P0137,2,719.63,0.05
OI000082,ORD00034,P0116,1,65328.67,0.1
OI000083,ORD00034,P0113,1,28147.86,0
OI000084,ORD00034,P0010,3,12363.6,0
OI000085,ORD00034,P0163,2,2800.22,0
OI000086,ORD00035,P0023,1,1223.62,0
OI000087,ORD00035,P0089,1,565.78,0.15
OI000088,ORD00035,P0077,2,8960.44,0.2
OI000089,ORD00036,P0138,2,557.76,0.2
OI000090,ORD00036,P0168,1,32450.42,0.2
OI000091,ORD00037,P0067,1,2164.79,0.2
OI000092,ORD00037,P0187,3,9370.59,0.15
OI000093,ORD00038,P0166,3,73611.82,0.2
OI000094,ORD00038,P0107,2,4071.85,0
OI000095,ORD00039,P0085,1,335.79,0
OI000096,ORD00039,P0180,1,1229.19,0.05
OI000097,ORD00039,P0130,1,6787.49,0.2
OI000098,ORD00040,P0026,2,393.23,0.15
OI000099,ORD00040,P0171,2,71342.03,0.1
OI000100,ORD00040,P0180,1,1229.19,0.15
OI000101,ORD00041,P0016,1,2941.94,0.05
OI000102,ORD00041,P0029,1,486.42,0.2
OI000103,ORD00042,P0122,2,2015.83,0.15
OI000104,ORD00042,P0058,1,31996.16,0.1
OI000105,ORD00042,P0004,1,1626.57,0
OI000106,ORD00043,P0013,1,2736.54,0.05
OI000107,ORD00043,P0027,1,664.5,0.05
OI000108,ORD00044,P0050,1,2688.08,0.05
