order_id,customer_id,order_date,order_status
ORD00001,C00501,2025-12-29,Completed
ORD00002,C02313,2025-09-02,Completed
ORD00003,C02072,2025-02-15,Completed
ORD00004,C01939,2025-03-20,Completed
ORD00005,C02478,2025-07-28,Completed
ORD00006,C00708,2025-10-11,Completed
ORD00007,C00713,2025-02-28,Completed
ORD00008,C02479,2025-04-30,Completed
ORD00009,C04116,2025-12-30,Completed
ORD00010,C03875,2025-02-05,Completed
ORD00011,C01756,2025-11-04,Pending
ORD00012,C03543,2025-12-21,Completed
ORD00013,C03783,2025-08-07,Completed
ORD00014,C03408,2025-02-14,Completed
ORD00015,C04044,2025-05-03,Completed
ORD00016,C01053,2025-03-01,Pending
ORD00017,C00955,2025-03-19,Completed
ORD00018,C01356,2025-11-14,Completed
ORD00019,C01670,2025-09-15,Completed
ORD00020,C01834,2025-01-21,Completed
ORD00021,C02376,2025-10-31,Completed
ORD00022,C04592,2025-01-18,Completed
ORD00023,C04307,2025-11-05,Completed
ORD00024,C04556,2025-10-07,Cancelled
ORD00025,C04328,2025-12-31,Completed
ORD00026,C04739,2025-07-14,Cancelled
ORD00027,C03377,2025-06-04,Completed
ORD00028,C01293,2025-04-07,Completed
ORD00029,C04689,2025-02-25,Cancelled
ORD00030,C04717,2025-10-30,Completed
ORD00031,C04204,2025-03-20,Completed
ORD00032,C01778,2025-04-09,Completed
ORD00033,C03216,2025-10-15,Returned
ORD00034,C01695,2025-02-18,Completed
ORD00035,C01242,2025-04-30,Pending
ORD00036,C03532,2025-11-17,Completed
ORD00037,C04007,2025-01-28,Completed
ORD00038,C00567,2025-09-05,Completed
ORD00039,C00093,2025-12-02,Completed
ORD00040,C04489,2025-10-16,Completed
ORD00041,C00944,2025-09-17,Pending
ORD00042,C03926,2025-05-29,Completed
ORD00043,C02631,2025-01-16,Completed
ORD00044,C01960,2025-04-16,Completed
ORD00045,C00188,2025-05-08,Completed
ORD00046,C02159,2025-10-31,Completed
ORD00047,C03522,2025-01-15,Completed
ORD00048,C00628,2025-05-12,Completed
ORD00049,C03890,2025-07-20,Completed
ORD00050,C00476,2025-09-11,Completed
ORD00051,C02841,2025-12-27,Completed
ORD00052,C02934,2025-12-29,Cancelled
ORD00053,C03763,2025-03-19,Completed
ORD00054,C00617,2025-07-13,Pending
ORD00055,C01712,2025-03-02,Completed
ORD00056,C00214,2025-04-11,Cancelled
ORD00057,C04076,2025-11-25,Completed
ORD00058,C00630,2025-02-17,Cancelled
ORD00059,C00450,2025-06-11,Pending
ORD00060,C03601,2025-01-16,Completed
ORD00061,C04697,2025-11-10,Completed
ORD00062,C01686,2025-01-31,Completed
ORD00063,C03269,2025-08-25,Completed
ORD00064,C00112,2025-06-26,Completed
ORD00065,C04977,2025-05-24,Completed
ORD00066,C04893,2025-07-23,Completed
ORD00067,C04953,2025-05-06,Returned
ORD00068,C01122,2025-05-07,Completed
ORD00069,C03779,2025-01-31,Completed
ORD00070,C04040,2025-02-25,Pending
ORD00071,C02608,2025-09-25,Completed
ORD00072,C00217,2025-10-24,Completed
ORD00073,C00539,2025-05-21,Cancelled
ORD00074,C00398,2025-10-14,Completed
ORD00075,C01622,2025-05-08,Completed
ORD00076,C01772,2025-06-02,Completed
ORD00077,C00251,2025-07-27,Completed
ORD00078,C04379,2025-09-09,Completed
ORD00079,C02338,2025-12-23,Completed
