review_id,product_id,customer_id,rating,review_date,review_text
REV00001,P0003,C03991,4,2025-11-06,Good product
REV00002,P0154,C00759,5,2025-06-03,Really impressed
REV00003,P0068,C00338,3,2025-10-27,Decent for the price
REV00004,P0024,C03946,2,2025-07-08,Could be better
REV00005,P0086,C02112,1,2025-12-01,Not worth the price
REV00006,P0036,C01711,2,2025-08-05,Average quality
REV00007,P0131,C04527,4,2025-04-20,Works as expected
REV00008,P0130,C01163,3,2025-07-14,Decent for the price
REV00009,P0139,C04838,2,2025-11-02,Average quality
REV00010,P0012,C01118,4,2025-03-31,Happy with the purchase
REV00011,P0173,C00192,4,2026-01-18,Good product
REV00012,P0035,C00349,5,2025-02-02,Really impressed
REV00013,P0027,C03593,4,2025-07-02,Works as expected
REV00014,P0143,C04243,4,2025-06-19,Good product
REV00015,P0173,C02479,4,2025-01-27,Happy with the purchase
REV00016,P0028,C01504,5,2025-09-08,Great quality and value
REV00017,P0159,C00172,5,2025-10-18,Really impressed
REV00018,P0114,C03500,4,2025-06-30,Happy with the purchase
REV00019,P0122,C03383,3,2025-08-29,Okay product
REV00020,P0180,C03218,5,2025-03-08,Great quality and value
REV00021,P0125,C02340,4,2025-11-28,Good product
REV00022,P0038,C04839,3,2025-12-11,Average experience
REV00023,P0074,C04143,5,2025-11-10,Great quality and value
REV00024,P0052,C03129,5,2025-07-16,Excellent product
REV00025,P0167,C01008,4,2025-09-17,Happy with the purchase
REV00026,P0018,C01507,4,2025-11-25,Works as expected
REV00027,P0158,C04345,3,2025-12-30,Decent for the price
REV00028,P0031,C02374,3,2026-01-15,Okay product
REV00029,P0163,C02090,1,2025-06-26,Not worth the price
REV00030,P0144,C03717,5,2025-11-11,Great quality and value
REV00031,P0172,C03229,4,2025-08-20,Works as expected
REV00032,P0095,C00887,3,2025-07-17,Okay product
REV00033,P0147,C01872,4,2025-04-01,Works as expected
REV00034,P0187,C04775,4,2025-04-18,Good product
REV00035,P0183,C02945,5,2025-02-01,Excellent product
REV00036,P0118,C03064,4,2025-08-02,Good product
REV00037,P0128,C03631,5,2025-08-04,Great quality and value
REV00038,P0191,C01300,4,2025-08-15,Good product
REV00039,P0056,C01515,4,2025-06-03,Works as expected
REV00040,P0187,C03962,3,2025-06-10,Average experience
REV00041,P0033,C02235,4,2025-07-01,Works as expected
REV00042,P0124,C02547,5,2025-12-19,Excellent product
REV00043,P0199,C00373,4,2025-10-21,Works as expected
REV00044,P0180,C04986,3,2025-03-25,Okay product
REV00045,P0001,C02049,4,2025-10-16,Works as expected
REV00046,P0057,C01458,4,2025-07-25,Happy with the purchase
REV00047,P0186,C02908,4,2025-03-28,Works as expected
REV00048,P0155,C02371,3,2026-01-26,Okay product
REV00049,P0147,C02979,2,2025-03-04,Could be better
REV00050,P0178,C01134,5,2025-03-30,Really impressed
REV00051,P0116,C01570,3,2025-08-11,Decent for the price
REV00052,P0174,C03500,4,2025-06-12,Works as expected
REV00053,P0089,C03344,3,2025-03-21,Okay product
REV00054,P0128,C01318,4,2025-06-30,Good product
REV00055,P0081,C02011,5,2025-08-10,Great quality and value
REV00056,P0178,C02832,4,2025-07-30,Works as expected
REV00057,P0016,C00619,5,2025-12-07,Great quality and value
REV00058,P0186,C03266,3,2025-06-10,Decent for the price
REV00059,P0120,C01519,5,2025-06-25,Great quality and value
REV00060,P0006,C04149,2,2025-11-20,Not fully satisfied
REV00061,P0187,C00785,1,2025-06-19,Poor quality
REV00062,P0183,C00348,5,2025-12-21,Really impressed
REV00063,P0170,C03728,1,2025-10-09,Poor quality
REV00064,P0054,C02146,4,2025-07-20,Works as expected
REV00065,P0195,C02411,3,2025-08-26,Decent for the price
REV00066,P0010,C04443,5,2025-10-01,Really impressed
REV00067,P0060,C02072,4,2025-04-22,Works as expected
REV00068,P0192,C02669,5,2025-10-01,Excellent product
REV00069,P0009,C01843,3,2025-04-06,Decent for the price
REV00070,P0126,C02401,5,2025-04-04,Really impressed
REV00071,P0057,C04292,4,2025-09-30,Works as expected
REV00072,P0181,C02377,2,2025-09-05,Not fully satisfied
REV00073,P0042,C03956,5,2025-02-02,Great quality and value
REV00074,P0059,C00500,4,2025-08-14,Good product
REV00075,P0114,C03030,3,2025-08-08,Okay product
REV00076,P0062,C04993,4,2025-05-12,Happy with the purchase
REV00077,P0047,C02397,4,2025-12-23,Happy with the purchase
REV00078,P0055,C01371,5,2025-11-17,Great quality and value
REV00079,P0133,C01669,,2025-12-17,Could be better
REV00080,P0194,C03140,3,2025-04-29,Okay product
REV00081,P0147,C03014,3,2025-07-21,Okay product
REV00082,P0087,C02126,2,2025-03-06,Not fully satisfied
REV00083,P0165,C03312,4,2025-05-18,Good product
REV00084,P0145,C01221,3,2025-11-03,Average experience
REV00085,P0173,C03432,5,2025-12-07,Great quality and value
REV00086,P0179,C04147,3,2025-02-11,Average experience
REV00087,P0195,C02264,2,2025-04-24,Not fully satisfied
REV00088,P0145,C04837,3,2025-07-10,Okay product
REV00089,P0046,C03355,5,2025-03-07,Great quality and value
REV00090,P0038,C02762,5,2025-02-10,Really impressed
REV00091,P0155,C01523,4,2025-03-17,Works as expected
REV00092,P0178,C04527,5,2025-04-24,Great quality and value
REV00093,P0029,C02631,4,2025-12-17,Happy with the purchase
REV00094,P0184,C02762,2,2026-01-17,Could be better
REV00095,P0052,C03230,5,2025-02-24,Really impressed
REV00096,P0197,C04305,3,2025-06-24,Average experience
REV00097,P0037,C02895,3,2025-12-16,Decent for the price
REV00098,P0085,C03068,5,2026-02-09,Really impressed
REV00099,P0041,C00722,5,2025-07-15,Excellent product
REV00100,P0065,C00133,4,2026-01-16,Works as expected
REV00101,P0124,C00447,5,2025-09-06,Great quality and value
REV00102,P0004,C01101,4,2025-09-11,Works as expected
REV00103,P0091,C00965,2,2025-10-30,Could be better
REV00104,P0066,C03100,5,2025-07-12,Great quality and value
REV00105,P0079,C02784,5,2025-05-06,Really impressed
REV00106,P0114,C03404,2,2025-02-07,Not fully satisfied
REV00107,P0080,C02878,4,2025-09-16,Happy with the purchase
REV00108,P0039,C00220,5,2025-10-03,Really impressed
REV00109,P0189,C00510,4,2025-08-26,Good product
REV00110,P0082,C03291,4,2025-11-27,Good product
REV00111,P0083,C03609,5,2025-08-07,Really impressed
REV00112,P0154,C02474,5,2025-03-29,Great quality and value
REV00113,P0145,C00784,4,2025-10-25,Works as expected
REV00114,P0039,C00552,2,2025-05-16,Could be better
REV00115,P0101,C00450,4,2025-06-20,Good product
REV00116,P0166,C01326,3,2026-01-22,Okay product
REV00117,P0134,C02735,5,2025-09-19,Great quality and value
REV00118,P0012,C04162,2,2025-03-07,Not fully satisfied
REV00119,P0141,C02934,4,2025-12-13,Happy with the purchase
REV00120,P0160,C00596,2,2025-08-18,Average quality
REV00121,P0085,C02823,4,2025-10-02,Happy with the purchase
REV00122,P0029,C04082,5,2025-03-20,Excellent product
REV00123,P0068,C01042,4,2025-05-25,Happy with the purchase
REV00124,P0177,C00007,5,2025-05-24,Great quality and value
REV00125,P0176,C04858,2,2025-10-11,Could be better
REV00126,P0002,C01144,5,2025-12-04,Excellent product
REV00127,P0197,C04965,3,2026-01-31,Okay product
REV00128,P0155,C01947,5,2025-02-16,Excellent product
REV00129,P0094,C04057,5,2026-01-01,Excellent product
REV00130,P0026,C00101,5,2025-02-21,Really impressed
REV00131,P0034,C02738,3,2025-05-08,Decent for the price
REV00132,P0016,C04067,3,2025-08-15,Average experience
REV00133,P0057,C04462,4,2026-01-07,Good product
REV00134,P0122,C01619,4,2025-07-23,Good product
REV00135,P0033,C01269,3,2025-08-19,Average experience
REV00136,P0156,C02301,5,2025-05-21,Great quality and value
REV00137,P0054,C01545,4,2025-06-09,Works as expected
REV00138,P0162,C00490,5,2025-03-14,Great quality and value
REV00139,P0100,C03701,4,2025-10-23,Happy with the purchase
REV00140,P0199,C03722,3,2025-04-22,Okay product
REV00141,P0038,C03888,2,2025-07-04,Could be better
REV00142,P0120,C02276,1,2025-06-02,Not worth the price
REV00143,P0134,C04434,4,2025-04-18,Happy with the purchase
REV00144,P0083,C01560,4,2025-04-08,Works as expected
REV00145,P0027,C02852,1,2025-08-09,Not worth the price
REV00146,P0165,C04467,1,2025-09-08,Not worth the price
REV00147,P0117,C04512,5,2025-01-09,
REV00148,P0031,C03669,5,2025-08-01,Great quality and value
REV00149,P0029,C00113,5,2025-06-26,Really impressed
REV00150,P0179,C02697,1,2025-09-01,Very disappointing
REV00151,P0035,C01018,4,2025-12-24,Works as expected
REV00152,P0118,C00599,5,2025-12-14,Really impressed
REV00153,P0027,C04213,4,2025-08-07,Happy with the purchase
REV00154,P0095,C04310,5,2025-08-09,
REV00155,P0119,C00858,2,2025-06-24,Average quality
REV00156,P0149,C04085,1,2025-09-22,Poor quality
REV00157,P0093,C03604,5,2025-05-22,Excellent product
REV00158,P0086,C01272,4,2025-10-14,Good product
REV00159,P0179,C01043,4,2025-07-14,Happy with the purchase
REV00160,P0101,C00196,5,2025-04-04,Great quality and value
REV00161,P0167,C00194,5,2025-10-19,Great quality and value
REV00162,P0132,C03821,5,2025-03-27,Great quality and value
REV00163,P0151,C00143,5,2025-08-23,Great quality and value
REV00164,P0011,C03266,4,2025-05-23,Happy with the purchase
REV00165,P0185,C04400,5,2026-01-07,Excellent product
REV00166,P0126,C01323,2,2025-07-22,Not fully satisfied
REV00167,P0064,C01791,4,2025-11-15,Works as expected
REV00168,P0145,C02332,3,2025-10-17,Okay product
REV00169,P0013,C02327,4,2026-01-08,Works as expected
REV00170,P0195,C00227,4,2025-05-29,Happy with the purchase
REV00171,P0013,C01725,5,2025-12-10,Really impressed
REV00172,P0132,C01710,1,2025-04-29,Very disappointing
REV00173,P0088,C03572,1,2025-08-30,Very disappointing
REV00174,P0049,C03009,5,2025-01-30,Great quality and value
REV00175,P0055,C04485,5,2025-05-10,Really impressed
REV00176,P0056,C04309,1,2025-04-01,Not worth the price
REV00177,P0160,C00049,4,2025-06-26,Works as expected
REV00178,P0168,C00002,2,2025-07-19,Average quality
REV00179,P0012,C03878,4,2025-07-10,Happy with the purchase
REV00180,P0151,C03815,5,2025-05-31,Great quality and value
REV00181,P0008,C02232,4,2025-08-03,Works as expected
REV00182,P0061,C01168,3,2025-07-04,Okay product
REV00183,P0082,C01371,5,2025-08-30,Great quality and value
REV00184,P0138,C00658,5,2025-12-11,Great quality and value
REV00185,P0046,C02227,3,2025-04-15,Average experience
REV00186,P0056,C00192,4,2025-09-28,Happy with the purchase
REV00187,P0098,C03528,4,2025-06-10,Happy with the purchase
REV00188,P0052,C02998,1,2025-09-07,Poor quality
REV00189,P0017,C00318,5,2025-03-18,Excellent product
REV00190,P0024,C01615,5,2025-07-30,Excellent product
REV00191,P0191,C02899,4,2025-01-27,Happy with the purchase
REV00192,P0162,C03700,4,2025-06-07,Works as expected
REV00193,P0080,C04257,5,2025-04-26,Really impressed
REV00194,P0150,C01558,2,2025-02-17,Average quality
REV00195,P0118,C01931,3,2025-02-07,Average experience
REV00196,P0110,C01207,4,2025-05-22,Good product
REV00197,P0081,C04914,5,2025-08-09,Great quality and value
REV00198,P0150,C03193,4,2025-08-03,Happy with the purchase
REV00199,P0085,C02856,3,2025-08-20,Decent for the price
REV00200,P0020,C02225,4,2025-02-17,Good product
REV00201,P0041,C04408,5,2025-02-21,Really impressed
REV00202,P0053,C01449,4,2025-05-08,Works as expected
REV00203,P0017,C00900,3,2025-02-23,Average experience
REV00204,P0040,C00881,5,2026-01-15,Excellent product
REV00205,P0146,C01599,2,2025-12-27,
REV00206,P0064,C00060,5,2025-10-01,Great quality and value
REV00207,P0104,C02069,4,2025-01-17,Works as expected
REV00208,P0058,C01484,3,2025-05-18,Decent for the price
REV00209,P0082,C02598,5,2025-10-24,Great quality and value
REV00210,P0061,C04085,3,2025-08-06,Decent for the price
REV00211,P0145,C01472,5,2025-10-23,Excellent product
REV00212,P0060,C00542,5,2025-11-07,Really impressed
REV00213,P0075,C00065,5,2025-11-06,Excellent product
REV00214,P0159,C02240,4,2025-06-02,Good product
REV00215,P0169,C04832,2,2025-02-17,Average quality
REV00216,P0102,C00406,1,2025-03-04,Not worth the price
REV00217,P0132,C02124,3,2025-02-27,Decent for the price
REV00218,P0088,C01751,5,2025-10-20,Excellent product
REV00219,P0038,C03526,4,2025-07-07,Good product
REV00220,P0152,C01391,4,2025-11-30,Works as expected
REV00221,P0037,C00453,4,2025-09-25,Happy with the purchase
REV00222,P0171,C02696,4,2026-01-03,Good product
REV00223,P0041,C04616,2,2025-10-07,Could be better
REV00224,P0086,C03861,3,2025-09-16,Decent for the price
REV00225,P0090,C00249,4,2025-07-16,Works as expected
REV00226,P0138,C02021,2,2025-12-04,Not fully satisfied
REV00227,P0071,C02080,4,2025-05-17,Happy with the purchase
REV00228,P0138,C02378,1,2025-12-28,Poor quality
REV00229,P0063,C01673,4,2025-07-01,Happy with the purchase
REV00230,P0042,C01414,5,2025-05-27,Really impressed
REV00231,P0049,C02037,4,2025-11-26,Works as expected
REV00232,P0129,C01501,5,2025-04-28,Excellent product
REV00233,P0125,C02420,5,2025-02-15,Excellent product
REV00234,P0018,C03638,5,2025-06-03,Great quality and value
REV00235,P0046,C02282,3,2026-01-27,Average experience
REV00236,P0025,C04960,5,2025-04-21,Great quality and value
REV00237,P0122,C00398,4,2025-12-19,Good product
REV00238,P0023,C03417,2,2025-09-21,Could be better
REV00239,P0001,C01949,4,2025-02-20,Works as expected
REV00240,P0115,C03310,4,2025-06-27,Happy with the purchase
REV00241,P0045,C00719,3,2025-02-27,Average experience
REV00242,P0200,C04837,5,2026-01-21,Excellent product
REV00243,P0083,C02436,3,2025-02-08,Okay product
REV00244,P0110,C03519,1,2025-05-14,Very disappointing
REV00245,P0120,C04306,4,2025-10-06,Good product
REV00246,P0190,C04563,4,2025-09-03,Works as expected
REV00247,P0154,C01930,4,2025-08-15,Good product
REV00248,P0023,C02328,4,2025-03-02,Good product
REV00249,P0014,C02483,4,2025-10-28,Works as expected
REV00250,P0094,C02614,5,2025-06-04,Great quality and value
REV00251,P0090,C00410,4,2025-09-04,Works as expected
REV00252,P0162,C04224,4,2025-07-01,Good product
REV00253,P0127,C00281,4,2025-12-22,Happy with the purchase
REV00254,P0169,C00629,5,2025-09-21,Really impressed
REV00255,P0119,C00722,4,2025-10-15,Works as expected
REV00256,P0008,C01045,3,2025-11-14,Average experience
REV00257,P0060,C01297,4,2025-06-21,Good product
REV00258,P0046,C02594,4,2025-10-09,Happy with the purchase
REV00259,P0104,C00256,3,2025-09-22,Average experience
REV00260,P0161,C02977,4,2025-03-07,Good product
REV00261,P0098,C03130,5,2025-08-24,Really impressed
REV00262,P0097,C01564,5,2025-04-30,Excellent product
REV00263,P0164,C03350,4,2025-03-19,Happy with the purchase
REV00264,P0026,C03275,5,2025-02-11,Really impressed
REV00265,P0008,C01776,4,2025-06-28,Good product
REV00266,P0161,C01486,4,2025-03-24,Good product
REV00267,P0032,C02721,4,2025-06-18,Happy with the purchase
REV00268,P0122,C03151,4,2025-02-25,Works as expected
REV00269,P0106,C01308,3,2025-03-09,Okay product
REV00270,P0055,C04308,5,2025-12-18,Excellent product
REV00271,P0154,C00629,4,2025-03-05,Good product
REV00272,P0049,C01946,4,2025-05-07,Good product
REV00273,P0072,C02338,5,2025-03-10,Great quality and value
REV00274,P0114,C02840,2,2026-01-02,Could be better
REV00275,P0063,C04658,5,2025-04-13,Really impressed
REV00276,P0199,C02761,3,2026-01-07,Average experience
REV00277,P0044,C01510,5,2025-12-06,Excellent product
REV00278,P0052,C02326,5,2025-09-29,Great quality and value
REV00279,P0163,C04702,5,2026-01-06,Really impressed
REV00280,P0154,C01641,4,2025-05-26,Good product
REV00281,P0127,C01565,5,2025-07-02,Great quality and value
REV00282,P0108,C00067,4,2025-09-30,Happy with the purchase
REV00283,P0176,C04222,2,2025-12-08,Could be better
REV00284,P0002,C04204,5,2025-09-12,Really impressed
REV00285,P0091,C04930,4,2025-01-28,Works as expected
REV00286,P0085,C01088,3,2025-11-10,Okay product
REV00287,P0132,C03401,4,2025-06-12,Happy with the purchase
REV00288,P0024,C02290,4,2025-06-09,Good product
REV00289,P0075,C04298,4,2025-12-15,Good product
REV00290,P0049,C00046,5,2025-08-16,Really impressed
REV00291,P0029,C02161,3,2025-11-14,Decent for the price
REV00292,P0189,C01765,5,2025-05-30,Excellent product
REV00293,P0022,C04699,4,2025-12-14,Good product
REV00294,P0107,C02321,3,2025-05-14,Okay product
REV00295,P0178,C02016,4,2025-04-12,Happy with the purchase
REV00296,P0047,C03247,4,2025-06-06,Works as expected
REV00297,P0160,C03920,3,2025-10-15,Okay product
REV00298,P0092,C04988,4,2025-10-29,Good product
REV00299,P0102,C02757,4,2025-06-28,Happy with the purchase
REV00300,P0173,C04900,3,2025-07-22,Average experience
REV00301,P0102,C03434,4,2025-11-23,Good product
REV00302,P0007,C00503,4,2025-12-15,Good product
REV00303,P0044,C01704,4,2025-09-13,Happy with the purchase
REV00304,P0031,C03574,5,2025-06-25,Really impressed
REV00305,P0065,C01877,4,2025-11-16,Happy with the purchase
REV00306,P0015,C02933,4,2025-04-21,Good product
REV00307,P0050,C01390,4,2025-11-17,Good product
REV00308,P0155,C02277,3,2025-07-13,Decent for the price
REV00309,P0022,C03869,5,2025-01-19,Really impressed
REV00310,P0195,C04607,5,2025-07-30,Great quality and value
REV00311,P0008,C04029,5,2025-03-02,Great quality and value
REV00312,P0069,C04029,4,2025-11-30,Good product
REV00313,P0198,C02491,1,2025-04-06,Poor quality
REV00314,P0154,C03960,5,2025-09-26,Really impressed
REV00315,P0163,C02926,3,2025-08-23,Average experience
REV00316,P0023,C01931,3,2025-10-21,Okay product
REV00317,P0140,C04056,3,2025-12-20,Average experience
REV00318,P0073,C04414,3,2025-08-11,Okay product
REV00319,P0031,C04532,5,2025-12-28,Really impressed
REV00320,P0094,C00189,3,2025-10-21,Average experience
REV00321,P0097,C00761,4,2026-01-09,Happy with the purchase
REV00322,P0164,C02596,4,2025-11-16,Good product
REV00323,P0174,C02921,5,2025-03-10,Great quality and value
REV00324,P0052,C04807,5,2025-10-14,Great quality and value
REV00325,P0199,C02734,5,2025-07-11,Great quality and value
REV00326,P0181,C01839,2,2025-05-13,Not fully satisfied
REV00327,P0031,C02730,3,2025-10-29,Average experience
REV00328,P0024,C04852,3,2025-10-28,Decent for the price
REV00329,P0001,C04802,5,2025-03-14,Great quality and value
