product_id,product_name,category_id,brand,price,cost
P0001,Apple iPhone 15,CAT01,Apple,71812.96,50922.07
P0002,Samsung Galaxy S24,CAT01,samsung,63130.56,46889.09
P0003,Sony WH-1000XM5,CAT01,Sony,31203.72,20934.68
P0004,boAt Airdopes 141,CAT01,boAt,1594.68,807.87
P0005, Logitech MX Master 3S ,CAT01,Logitech,8934.63,5755.81
P0006,HP Pavilion 15,CAT01,HP,65460.48,53534.38
P0007,Lenovo IdeaPad Slim 3,CAT01,lenovo,49491.62,
P0008,Dell Inspiron 14,CAT01,Dell,60611.2,
P0009,OnePlus Nord CE 4,CAT01,OnePlus,24075.69,19001.38
P0010,JBL Flip 6,CAT01,JBL,12615.92,7149.93
P0011, Levi's Men's 511 Jeans ,CAT02,Levi's,3151.57,1740.42
P0012,Allen Solly Men's Shirt,CAT02,allen solly,1961.09,1006.59
P0013,Biba Women's Kurta,CAT02, Biba ,2682.88,
P0014, W for Women Palazzo ,CAT02,W,1792.49,932.57
P0015,H&M Cotton T-Shirt,CAT02,H&M,1373.2,658.09
P0016,Roadster Casual Jacket,CAT02,Roadster,2941.94,1541.35
P0017,Puma Running Shoes,CAT03,Puma,5051.16,3064.64
P0018, Nike Air Max ,CAT03,Nike,8876.09,5634.97
P0019,Adidas Ultraboost,CAT03, Adidas ,13706.28,8316.62
P0020,Skechers Go Walk,CAT03,Skechers,7413.73,4339.91
P0021, Prestige Electric Kettle ,CAT04,Prestige,1966.77,992.77
P0022,Philips Air Fryer,CAT04, Philips ,8676.7,
P0023,Borosil Glass Lunch Box,CAT04,Borosil,1223.62,677.55
P0024,Milton Thermosteel Flask,CAT04, Milton ,1416.78,778.69
P0025,Wakefit Memory Foam Pillow,CAT04,Wakefit,1024.33,511.57
P0026,Lakme Face Wash,CAT05,Lakme,393.23,202.68
P0027,Maybelline Fit Me Foundation,CAT05,Maybelline,678.06,378.86
P0028,Mamaearth Face Serum,CAT05,mamaearth,615.3,314.06
P0029,The Derma Co Sunscreen,CAT05,The Derma Co,476.88,267.15
P0030,Nivea Body Lotion,CAT05,Nivea,333.12,177.4
P0031,Decathlon Yoga Mat,CAT06,Decathlon,1400.88,711.76
P0032,Yonex Badminton Racket,CAT06,yonex,2532.84,1482.12
P0033,Cosco Football,CAT06,Cosco,1055.37,
P0034,Strauss Gym Gloves,CAT06,Strauss,577.65,283.16
P0035,Milton Sports Bottle,CAT06,MILTON,683.15,
P0036,Tata Salt 1kg,CAT07,Tata,26.93,18.96
P0037,Aashirvaad Atta 5kg,CAT07,Aashirvaad,317.38,205.33
P0038,Fortune Sunflower Oil 1L,CAT07, Fortune ,149.11,103.68
P0039,Tata Tea Gold 1kg,CAT07,Tata,613.63,417.93
P0040,Kellogg's Corn Flakes 500g,CAT07,Kellogg's,241.46,159.98
P0041,Atomic Habits,CAT08,Penguin,607.51,349.75
P0042,Ikigai,CAT08,Penguin,406.06,251.46
P0043,The Psychology of Money,CAT08,Jaico,493.97,
P0044,Rich Dad Poor Dad,CAT08, Plata ,430.77,235.27
P0045,Deep Work,CAT08,Hachette,470.87,278.97
P0046,Portronics Power Bank 10000mAh,CAT09, Portronics ,1134.79,710.71
P0047,Anker USB-C Cable,CAT09,Anker,942.88,
P0048,Spigen iPhone Case,CAT09,Spigen,1408.35,887.21
P0049,SanDisk 128GB Memory Card,CAT09,SanDisk,1186.28,652.27
P0050,TP-Link WiFi Router,CAT09,TP-LINK,2688.08,1669.27
P0051,American Tourister Backpack,CAT10,AMERICAN TOURISTER,2328.37,1488.41
P0052,Skybags Trolley Bag,CAT10,Skybags,4127.99,2410.65
P0053,Wildcraft Travel Backpack,CAT10,Wildcraft,2909.1,1779.6
P0054,Fastrack Analog Watch,CAT10,Fastrack,2365.89,1438.65
P0055,Safari Cabin Trolley,CAT10,SAFARI,3492.21,
P0056,Apple iPhone 15 - Black,CAT01,Apple,74295.39,52466.76
P0057,Samsung Galaxy S24 - Blue,CAT01,SAMSUNG,65329.71,
P0058, Sony WH-1000XM5 - White ,CAT01,SONY,31996.16,21411.48
P0059,boAt Airdopes 141 - Grey,CAT01,boAt,1461.18,864.17
P0060,Logitech MX Master 3S - Red,CAT01,Logitech,9187.0,5845.88
P0061,HP Pavilion 15 - Green,CAT01,HP,71007.17,53752.81
P0062,Lenovo IdeaPad Slim 3 - Silver,CAT01,Lenovo,55469.61,41149.34
P0063,Dell Inspiron 14 - Navy,CAT01,dell,54865.76,44539.89
P0064,OnePlus Nord CE 4 - Black,CAT01,ONEPLUS,23322.1,19768.05
P0065, JBL Flip 6 - Blue ,CAT01,JBL,12740.64,7902.48
P0066,Levi's Men's 511 Jeans - White,CAT02,Levi's,2927.41,1609.82
P0067,Allen Solly Men's Shirt - Grey,CAT02,Allen Solly,2122.34,
P0068,Biba Women's Kurta - Red,CAT02,Biba,2356.18,1297.81
P0069,W for Women Palazzo - Green,CAT02,W,1785.79,1010.65
P0070,H&M Cotton T-Shirt - Silver,CAT02,H&M,1357.29,
P0071,Roadster Casual Jacket - Navy,CAT02,Roadster,2802.62,1508.96
P0072, Puma Running Shoes - Black ,CAT03,Puma,4847.82,3029.61
P0073,Nike Air Max - Blue,CAT03,NIKE,8936.27,5406.33
P0074,Adidas Ultraboost - White,CAT03,Adidas,13140.62,8426.25
P0075,Skechers Go Walk - Grey,CAT03,Skechers,6720.25,4202.85
